url,name,amount,maxwithdraw,minwithdraw,ratio,rollover,score
keno99.com,DAILY FREE POINT LOSS CREDIT GAME2 3200,3200.0,0.0,0.0,0.0,0.0,320000.0
retro33.com,VIP Loyalty 2,3000.0,0.0,0.0,0.0,1.0,300000.0
blaze007.com,VIP Loyalty 2,3000.0,0.0,0.0,0.0,1.0,300000.0
efa99aus.com,5️⃣⚜️ VVIP FREE,1688.0,0.0,0.0,0.0,0.0,168800.0
retro33.com,VIP Loyalty 1,1500.0,0.0,0.0,0.0,1.0,150000.0
blaze007.com,VIP Loyalty 1,1500.0,0.0,0.0,0.0,1.0,150000.0
v8au.com,V8 VIP BOOSTER 5,1288.0,0.0,0.0,0.0,0.0,128800.0
onyxaud.com,Fresh Sign Up,1288.0,0.0,0.0,0.0,0.0,128800.0
mwaus.co,Lucky Spin AUD 1088,1088.0,0.0,0.0,0.0,8704.0,108800.0
rec99au.com,VIP(6) LOYALTY PROGRAM,1000.0,0.0,0.0,0.0,0.0,100000.0
tab9au.com,7️⃣⚜️ VVIP FREE,999.0,0.0,0.0,0.0,999.0,99900.0
mmd9.net,VI ⚜️ VVIP FREE,996.0,0.0,0.0,0.0,996.0,99600.0
supreme777.com,6️⃣✨ VVIP FREE,977.0,0.0,0.0,0.0,977.0,97700.0
aud365.co,COMMISSION,1.0,888.0,0.0,0.0,0.0,88800.0
iau9.com,Supreme Upgrade Bonus,800.0,0.0,0.0,0.0,800.0,80000.0
enjoy96.com,7️⃣⚜️ VVIP FREE,800.0,0.0,0.0,0.0,800.0,80000.0
v8au.com,V8 VIP BOOSTER 4,788.0,0.0,0.0,0.0,0.0,78800.0
supreme777.com,5️⃣✨ VVIP FREE,777.0,0.0,0.0,0.0,777.0,77700.0
crown777au.com,WEEKLY LOYALTY BONUS,777.0,0.0,0.0,0.0,0.0,77700.0
nightclubaus.com,Weekly Cash Back,688.88,0.0,0.0,0.0,3444.4,68888.0
pokies33au.com,Deposit $100000,688.0,0.0,0.0,0.0,5.0,68800.0
rec99au.com,VIP(5) LOYALTY PROGRAM,600.0,0.0,0.0,0.0,0.0,60000.0
tab9au.com,6️⃣⚜️ VVIP FREE,599.0,0.0,0.0,0.0,599.0,59900.0
